,company,job_title,address,employment_type,seniority,category,salary,salary_period,requirements
2547,TECHGEMS ENGINEERING & CONSTRUCTION PTE. LTD.,Admin Assistant,12 BENOI PLACE 629932,Permanent,"Fresh/entry level, Non-executive","Admin / Secretarial, Building and Construction","$1,500to$1,900",Monthly,"Requirements Proficient in MS Excel and Words Able to work independently    Interested parties, kindly email your resume to hr@techgems.com.sg"
2548,CAREER TREND PTE. LTD.,Business Process Analyst 1 year contract renewable / Central / MNC / Max $4K,"THE ADELPHI, 1 COLEMAN STREET 179803",Contract,Executive,Others,"$3,500to$4,000",Monthly,"Requirements Degree holder 3-5 years working as BPA or as data analyst role Strong Analytical, conceptualisation and problem solving skills Competent in Excel and Power point Knowledge of Salesforce or CRM system, ERP or any analytics tools is desirable Prior experience in Data collection, Data massaging and data mining is an added advantage Effective communication and stakeholder management skills.  If you are keen in this position, kindly send your resume to ec@careertrend.com.sg (Eileen Chin, EA Personnel Registration No.: R1108737)"
2549,CAREER TREND PTE. LTD.,Design Engineer / Electronic Component MNC / 5 days week / Fresh grad welcome,"THE ADELPHI, 1 COLEMAN STREET 179803",Full Time,Senior Executive,Information Technology,"$4,000to$5,500",Monthly,"Requirements• Programming skills in C++/C and Python • Knowledge in image processing pipeline is a plus • Strong communication skills and ability to work across various groups • FPGA understanding is a plus • Degree in computer science or EEE with design experience If you are keen in this position, kindly send your resume to ec@careertrend.com.sg (Eileen Chin, EA Personnel Registration No.: R1108737)"
2550,THYE HUA KWAN MORAL CHARITIES LIMITED,Admin Assistant,"HIGH STREET CENTRE, 1 NORTH BRIDGE ROAD 179094",Full Time,Non-executive,Admin / Secretarial,"$1,600to$2,200",Monthly,Requirements Diploma / ‘O’ Level with years of relevant experience Good communication and interpersonal skills Able to work efficiently in a fast-paced setting Ability to handle confidential information Strong follow-up skills and able to meet tight deadline Meticulous and able to work independently with minimal supervision Willing to learn administrative work in a VWO setting  Able to work in the West area  
2551,STONE FOREST ACCOUNTSERVE PTE LTD,Application Software Engineer,"WILKIE EDGE, 8 WILKIE ROAD 228095",Full Time,Executive,Information Technology,"$3,500to$5,000",Monthly,"RequirementsRequirements   Strong communication skill (English verbal and written) and able to work efficiently in a team environment At least 2 years' of working experience in .NET MVC web application development Knowledge and experience of MSSQL database which including stored procedure Knowledge and experience of computer programming languages including Javascript, JQuery, AJAX, ASP.NET C# / VB.NET and etc. Has a suitable qualification in Computer Science, Information Technology or equivalent Any prior experience in developing HR related applications and/or any mobile application development will be advantageous Good Knowledge of relevant third party tools (e.g. Telerik, Aspose) and common libraries An interest to learn more about new languages and frameworks Any iOS/Andriod mobile app development experience will be advantageous "
2552,A*STAR RESEARCH ENTITIES,Senior Research Engineer / Principal Research Engineer (ARTC),"UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Senior Executive,Sciences / Laboratory / R&D,"$5,100to$10,200",Monthly,Requirements Degree / Masters in a relevant field 8-10 years’ experience in Business Development / Sales management Strong passion for business development and managing customer relationship A team player inspired to innovate and deliver solutions to customers  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.
2553,ACHIEVER COMMUNICATIONS PTE. LTD.,Field Technician,"WOODLANDS BIZHUB, 190 WOODLANDS INDUSTRIAL PARK E5 757516",Full Time,"Fresh/entry level, Non-executive","Information Technology, Telecommunications","$2,000to$2,500",Monthly,"RequirementsRequirements ·         Relevant experience in Telecommunications, IT and Security Field ·         Must be computer literate ·         Able to perform cabling/wiring, in voice, data or surveillance solution ·         Able to work independently as well as in team, in a fast paced environment ·         Equipped with good administrative and interpersonal .         Bilingual"
2554,AIR ENERGI GROUP SINGAPORE PTE. LTD.,Resident Project Manager,"ONE RAFFLES PLACE, 1 RAFFLES PLACE 048616",Contract,Senior Management,Engineering,"$12,800to$15,000",Monthly,"Requirements Respect of customer specifications, budgets and schedules of the project. Quality and On Time in project monitoring (project reviews, planning, financial monitoring and commercial follow-up). Customer satisfaction. Project profitability (deviation from initial target). Quantity and Volume of projects followed. To be well known by the customer / partner in the area (Asia – Pacific).  Quality Responsibilities:  Document and data management. Respect of work and archiving procedures. Documentation of knowledge. "
2555,VEOLIA ES SINGAPORE INDUSTRIAL PTE. LTD.,Sales Representative  /  Sales Manager,17 TUAS AVENUE 12 639037,Full Time,Senior Executive,Professional Services,"$3,500to$5,000",Monthly,"Requirements Degree or Diploma in Chemistry / Chemical Engineering with at least 3 years of business development, sales and marketing experience. Experience in chemical / oil and gas / microelectronics industries. Knowledge in environmental services / waste management is a plus. Proven track record of generating new business and rapid revenue growth. Excellent value selling and negotiation skills.    Successful candidate will be working in the main office located at 15 Tuas View Circuit, Singapore 636968. Company transport is provided."
2556,AXIOMSL PTE. LTD.,VP Legal,"FAR EAST FINANCE BUILDING, 14 ROBINSON ROAD 048545",Full Time,Senior Management,Legal,0,,"Requirements 5+ years of experience in corporate law gained in large law firm and/or in-house with a major firm; prior in-house experience preferred Proven background on corporate law (experience with contract law and drafting, intellectual property law, and corporate governance required) Excellent negotiation and communications skills Administrative and managerial skills Strong attention to detail Superior analytical skills and the motivation to provide exceptional client service Ability to establish and maintain strong relationships within the Legal Department and across all businesses Must have excellent computer skills, including skills with Microsoft Office, specifically Word, Excel, Power Point and Outlook Degree from an accredited law school and current licence to practise law Ability to work independently with minimal supervision "
2557,POSCO DAEWOO SINGAPORE PTE. LTD.,Trading Manager,0,Permanent,Middle Management,Sales / Retail ,"$6,000to$8,000",Monthly,"Requirements~ Analyse new market trends, business opportunities and market segments in global and local landscape. ~ Analyse past performance of collections, categories and campaigns to improve marketing effectiveness ~ Generate ideas and strategies based upon data-driven insights and recommendations. ~ Follow up business between Singapore endusers with suppliers and manufacturers in Korea.  "
2558,SINGAPORE CLINICAL RESEARCH INSTITUTE PTE. LTD.,Biostatistician,"NANOS, 31 BIOPOLIS WAY 138669",Contract,Manager,Sciences / Laboratory / R&D,0,,Requirements Master or PhD degree in (bio)statistics Competency in applying statistical thinking to solve problems in clinical research Competency in communicating statistics in English to non-statisticians and appreciating the perspectives of non-statisticians Ability to work effectively in a multi-disciplinary team environment Strong methodological background in applied statistics and modeling with publication track record (preferred) 
2559,ONG & ONG PTE. LTD.,Temp Staff,"SLF BUILDING, 510 THOMSON ROAD 298135",Temporary,Fresh/entry level,Admin / Secretarial,"$1,000to$1,200",Monthly,Requirements Basic Computer Knowledge Basic Data Entry Knowledge 
2560,AMAZON WEB SERVICES SINGAPORE PRIVATE LIMITED,Partner Solutions Architect,"AIA TOWER, 1 ROBINSON ROAD 048542",Permanent,Professional,Information Technology,"$120,000to$240,000",Annually,"RequirementsBasic qualifications  7+ years in customer-facing positions 5+ years hands-on, technical experience working VMware solutions 12+ years in highly technical roles Demonstrated ability to think strategically about business, product, and technical challenges  Preferred qualifications  An advanced degree in computer science, engineering or mathematics is preferred "
2561,A*STAR RESEARCH ENTITIES,"Laboratory Officer / Senior Laboratory Officer (ARTC,A*STAR)","UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,"$1,900to$3,800",Monthly,"Requirements Diploma in engineering or in a relevant discipline  0-4 years of experience in manufacturing roles within the aerospace, MRO, oil & gas, marine, machinery and/or work experience in research organisations conducting applied R&D   Knowledge and experience in engineering drawing and using CAD/CAM,NX is advantage   The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
2562,AMANN GIRRBACH ASIA PTE. LTD.,Dental Technician CAD / CAM Helpdesk,0,Full Time,Non-executive,"Customer Service, Healthcare / Pharmaceutical, Information Technology",0,,Requirements Education as a dental technician / dental auxillary A high level of knowledge and competency with use of computers (hardware and software) and confidence in working with Microsoft Office Fluent knowledge (spoken and written) in English is required Strong customer and service focus and the ability to work with multi-cultural clients Conflict resolution skills 
2563,HEALTH MANAGEMENT INTERNATIONAL LTD,Patient Service Associate,"SUNTEC TOWER ONE, 7 TEMASEK BOULEVARD 038987",Permanent,Executive,Healthcare / Pharmaceutical,"$2,000to$2,500",Monthly,"RequirementsJob Requirements:  GCE ""A""  Skills/Knowledge:  Good written and verbal communication skills; basic command of  Mandarin Have proven relationship building and selling skills Competent in Microsoft Office  Working Experiences:  Minimum 2 years of relevant working experience in administration job, preferably in the healthcare or services industries Posses strong communications experience  Personality Traits:  Must self-motivated, pro-active and service oriented  Team player with pleasant personality, confident and positive Organised and independent "
2564,CAPE EAST PTE. LTD.,Planning Engineer,60 JOO KOON CIRCLE 629073,"Permanent, Full Time",Executive,"Building and Construction, Others","$3,000to$5,000",Monthly,"Requirements Min. 5 years of similar capacity in Oil&Gas Industry Professional qualification Experience working with project management programmes such as Primavera and/or MS Project Familiarity with the techniques and working methods used in the sector Independent, pro-active, accurate, with strong analytical and organising skills 5.5 days' work week Location at Bukom Island "
2565,A*STAR RESEARCH ENTITIES,Senior Laborator officer / Research Engineer (ARTC),"UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,"$2,100to$4,200",Monthly,Requirements Diploma or Degree in a relevant field Proven track record in establishing new accounts will be advantageous 1-2 years’ experience in Business Development / Sales management Entry level candidates with a track record of the above mentioned are encouraged to apply Strong passion for business development and managing customer A team player inspired to innovate and deliver solutions to customers relationships  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.
2566,ELEMENT AI INC. PTE. LTD.,"Lead Solutions Strategist, Industry Solutions","HENGDA BUILDING, 137 CECIL STREET 069537",Permanent,Middle Management,Information Technology,"$14,000to$18,000",Monthly,"RequirementsYou want to join us because you are passionate about:  Driving enterprise-scale transformations; Being a trusted advisor to senior clients; Developing and empowering the people on your teams; Leading executive workshops and meetings; Overseeing the creation of end products that drive action; Driving the evolution of Element AI’s methodology and knowledge leadership; Building partnerships and initiatives that improve the AI ecosystem.  We want you to join us because you have:  Undergraduate degree or Master’s (preferred) in management, business, economics, or a related domain; At least 4-7 years of work experience excelling in a top-tier management consultancy, innovation consultancy or industry experience; Previous experience in financial services (especially the insurance space), retail or manufacturing is considered an asset; At least 2 years experience leading teams; Experience with the entrepreneurial dynamics of a start-up – either in a work setting and/or through extracurricular activities; Excellent organizational skills with efficient time management and the ability to prioritize work effectively; Exceptional communication and presentation skills, with the ability to translate complex technical topics; Demonstrated interest in technology and the role of AI.  We want you to join us because you are:  Able to seamlessly manage 3-5 person teams that mix business, technical, and creative members; A passionate coach who develops extraordinary junior teammates; An agile thinker who quickly understands new domains and identifies opportunities to apply and extend their knowledge; Comfortable navigating and creating clarity in ambiguous environments; Able to engage and communicate effectively with executives and the front-line; Able to collaborate effectively with multidisciplinary teams that include researchers, engineers, and designers.  What we offer for your valuable work:  Highly dynamic, innovative, passionate, entrepreneurial team; Open and inclusive company culture; Worldwide competitive salary; Multiple development paths; Participation in the company success through the Employee Stock Option Plan; Flexible hours (outside of core hours); Autonomous, self-managed Agile teams.  We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
2567,A*STAR RESEARCH ENTITIES,"Scientist (ARTC,A*STAR)","UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,"$4,500to$9,000",Monthly,"Requirements  PhD or masters   minimum of 2-3 years of experience   PhD in Mechanical Engineering, Control Engineering, Electrical Engineering or Computer Science   Experience in IoT devices and M2M   Experience with one or more the following protocols OPC, OP   The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
2568,STAR TOTS PLAYGROUP SOUTH PTE. LTD.,Finance Assistant Officer,0,Full Time,Executive,Banking and Finance,"$1,500to$2,000",Monthly,Requirements  Responsibilities include:  Data entry - Payment tracking and keying in receipts Assist in fees collection Prepare monthly course report for submission Other ad-hoc duties assigned   Requirements:  Diploma or above Prior work experience in finance / accounts-related is preferred Singaporeans or PR only Able to sport errors independently Must be meticulous and precise in the work produced Able to multi-task and meet tight deadlines Able to cope with stress 
2569,ASIACLOUD SOLUTIONS PRIVATE LIMITED,Salesforce Lightening Developer,0,"Permanent, Contract, Full Time","Professional, Executive, Senior Executive",Information Technology,"$6,000to$8,000",Monthly,"Requirements Minimum 2 years of experience in Salesforce LighteningComponent related development Experience of converting SFDC classic into Lightening mode Experience to Visualforce to lightening migration knowledge Experience with Javascript, Jquery, CSS & DOM "
2570,Company Undisclosed,Data Centre Operations Manager (Ref 22818),0,"Permanent, Temporary, Full Time","Manager, Professional, Senior Executive",Information Technology,"$5,000to$10,000",Monthly,"Requirements Requirements: - Degree in Computer Science or equivalent - 10 years IT relevant experience - ITIL V3 Foundation Certification - Certified Data Centre Professional - CDCP - Certified Data Centre Specialist -  CDCS - IT Operations Best Practice - ISO9000 - SS507 - ISO 20000 - ISO 27001 - ISO 22301 - ITIL Foundation - ITIL Immediate Level Certification - Project Management - Budget preparation and fiscal management - Personnel Skills, able to maintain confidentiality and address personnel issues sensitively and appropriately - Assertive & tactful when dealing with auditors - Well organized and able to reschedule priorities as circumstances change - Analytical with good problem solving skills - Good Communication skills - Making administrative / procedural decisions and judgments - Strategic planning skills - Skill in examining and re-engineering operations and procedures, formulating policy and developing and implementing new strategies and procedures.   License No.: 12C6060"
2571,Company Undisclosed,Data Migration Senior  /  Developer (Ref 22827),0,"Contract, Full Time",Executive,Information Technology,"$4,000to$8,000",Monthly,"Requirements- Diploma / Degree holder with 3 - 8 years of working experiences - Experienced with Oracle Data Integrator (ODI), Oracle PL SQL                                Licence No: 12C6060"
2572,Company Undisclosed,Data Migration Senior  /  Developer  (Ref 22827),0,"Contract, Full Time",Executive,Information Technology,"$3,000to$6,000",Monthly,"Requirements- Diploma / Degree holder with 3 - 8 years of working experiences - Experienced with Oracle Data Integrator (ODI), Oracle PL SQL Licence No: 12C6060"
2573,Company Undisclosed,Oracle Pl / SQL Developer,"HONG LEONG BUILDING, 16 RAFFLES QUAY 048581","Contract, Full Time",Executive,Information Technology,"$3,500to$5,500",Monthly,"RequirementsBehavioral Skills:  Participate in all aspects of the software development process including, requirements, designing, coding, unit testing, quality assurance, and deployment Work in a collaborative team of software professionals Ensure adherence to architecture standards, risk management and security policies Recommend, schedule, and perform software maintenance, improvements and upgrades Assume responsibility for issue resolution for production systems and provide tier 3 production support  Qualification:  Somebody who has at least 3+ years of work experience in software development. Education qualification: B.Tech, BE, BCA, MCA, M. Tech or equivalent technical degree from a reputed college "
2574,Company Undisclosed,"Engineer, Software","APERIA, 8 KALLANG AVENUE 339509",Full Time,Senior Executive,Others,"$3,600to$5,500",Monthly,"Requirements1) MS/BS Computer Science / Engineering or equivalent and at least 5 years relevant experience. 2) A solid foundation in computer science, with strong competencies in data structures, algorithms, and software design patterns. 3) Strong problem solving and analytical skills 4) Extensive development experience in both UI with java script and frameworks like Angular and server-side development with Java / JEE 5) Experience with modern DevOps processes and tools - Docker and Kubernetes 6) Working knowledge of ETL processes 7) Nice to have experience with Linked Data, graph data technlogies and elastic stack 8) Nice to have experience designing and deploying large scale distributed data processing systems with Hadoop, big data and SPARK,"
2575,Company Undisclosed,Senior Electrical Engineer,0,Contract,Non-executive,Engineering,0,,"Requirements Bachelor Degree in Electrical Engineering with minimum 12 years' relevant experience with electrical design involving onshore or offshore electrical power and distribution system. Familiarity with global electrical codes, standards and regulations ie IEC/BSI, etc Knowledge of electrical system for assessment/compliance studies and reports Understanding of Electrical system design and Electrical sytem studies. "
2576,Company Undisclosed,"Software Engineer, Backend",0,Full Time,Executive,Information Technology,"$7,500to$15,000",Monthly,"Requirements Designing, building, analyzing and troubleshooting large-scale systems Full stack performance tuning and optimization Debugging and modifying complex, production software Writing concurrent software Preferably a degree in computer science, software engineering, information technology or related fields Strong CS fundamentals (with competencies in algorithms and data structures) and excellent coder Familiarity with running web services at scale; understanding of systems internals and networking are a plus Strong understanding of system performance and scaling Possess excellent communication, sharp analytical abilities with proven design skills, able to think critically of the current system in terms of growth and stability "
2577,Company Undisclosed,"Software Engineer, Backend",0,Full Time,Executive,Information Technology,"$5,000to$7,500",Monthly,"Requirements Designing, building, analyzing and troubleshooting large-scale systems Full stack performance tuning and optimization Debugging and modifying complex, production software Writing concurrent software Preferably a degree in computer science, software engineering, information technology or related fields Strong CS fundamentals (with competencies in algorithms and data structures) and excellent coder Familiarity with running web services at scale; understanding of systems internals and networking are a plus Strong understanding of system performance and scaling Possess excellent communication, sharp analytical abilities with proven design skills, able to think critically of the current system in terms of growth and stability "
2578,Company Undisclosed,Store Assistant,"UNITED SQUARE, 101 THOMSON ROAD 307591",Permanent,Non-executive,Others,0,,"Requirements Meticulous, hardworking and a good team player Min Secondary, GCE 'N' / 'O' levels At least 1 year’s working experience in store/warhouse enviroment Able to work well with all levels of internal management and staff Proficient in MS Office applications. Conversant in both English and Mandarin Singaporean / SPR preferred "
2579,Company Undisclosed,Execution & Sales Broker,0,"Permanent, Full Time",Junior Executive,Sales / Retail ,"$2,500to$7,000",Monthly,RequirementsEducated to a degree level (essential)  Relevant regulatory qualifications (desired)  Sound understanding of global financial markets (desired)  Strong Microsoft Excel skills (essential)  Strong computer skills (essential)  Solid understanding in statistics (desired)  Coding with Microsoft Office VBA (desired)
2580,Company Undisclosed,Java Developer,0,Permanent,Professional,Information Technology,"$4,500to$6,000",Monthly,"Requirements Experience in projects on digital platforms (Adobe CQ/AEM, Hybris, Intershop, Episerver, Sybase,Sitecore) Working knowledge of multiple web application tier technologies and Java frameworks, tools, concepts and patterns Minimum 3 years experience and candidates with more experience will be considered a Technical Team Lead Diploma/Degree in Information Technology English -speaking with excellent communication and teamwork skills "
2581,Company Undisclosed,Accountant,0,Full Time,Executive,Accounting / Auditing / Taxation,"$3,500to$4,300",Monthly,"Requirements~ Prepare accurate and timely financial statements. ~ Calculate taxable income and the income tax liabilities of the organisation. ~ Calculate the cost of different types of capital financial instruments and the overall costs of capital for the organisation. ~ Compile accurate tax-related information for the organisation. ~ Compute the valuation of business and financial assets using different models. ~ Ensure the respective privileges and rights are in place within the accounting information system for users with different job roles and functions. ~ Extract data and provide analysis for management using relevant accounting information systems or software. ~ Implement policies and procedures with emphasis on internal controls to prevent possible fraud and errors. ~ Maintain accurate journal entries and allocations. ~ Manage accounts payable and receivables to help the organisation determine working capital needs and funding strategies. ~ Operate accounting information systems efficiently and effectively. ~ Participate in budgeting and forecasting activities. ~ Plan and coordinate the annual financial audit process. ~ Prepare asset, liability, and capital account entries by compiling and analysing account information. ~ Prepare financial statements and disclosure notes. ~ Provide accurate and timely tax and financial reports to the relevant authorities. ~ Provide data in relation to assets, capital rationing and cost of capital. ~ Reconcile accounts and provide analysis for the organisations financial transactions. ~ Resolve issues and deficiencies arising from audit findings. ~ Respond to internal and external auditors on audit data, variances and audit findings. ACCA graduated or equivalent; CA Singapore at lease 3 years experiences in construvtion accounting (using percentage of completion method) at least 5 year experiences in full set of account bilingual (english & chinese)  "
2582,Company Undisclosed,Marketing Director,0,Full Time,Middle Management,Marketing / Public Relations ,"$8,000to$10,000",Monthly,"Requirements ~ Conceptualise marketing campaigns across offline and digital platforms. ~ Conduct situational analysis to assess the organization's internal and external business environment and landscape. ~ Develop business continuity strategies, policies and plans. ~ Develop crisis management communication guideline. ~ Develop internal and external communication strategies, guidelines and parameters. ~ Develop media relationships. ~ Direct development of marketing messages. ~ Direct public relations activities. ~ Direct the design and development of model used for data-mining. ~ Drive profiling of target customers and market segments for marketing campaigns. ~ Drive the exploration and development of latest data science techniques. ~ Establish marketing objectives and strategies. ~ Establish scope and goals of marketing campaigns. ~ Evaluate local and international business environment and landscape. ~ Formulate budgetary assumptions. ~ Formulate public relations strategies. ~ Identify key focus groups for public relations cultivation. ~ Lead the formulation of data-driven insights and drive the practical application to the business. ~ Manage risk across business units. ~ Work closely with the data architecture and warehouse team to oversee data-mining and analysis process."
2583,Company Undisclosed,Sales & Marketing Executive,"UB. ONE, 81 UBI AVENUE 4 408830",Permanent,Executive,"Marketing / Public Relations , Sales / Retail ","$1,800to$2,200",Monthly,"Requirements Degree/Diploma in relevant qualifications Minimum 3 years of relevant experience Proficient in Microsoft Office applications (Word, PowerPoint and Excel) Preferably with experience in Adobe Photoshop and Illustrator Excellent written, communication, interpersonal and presentation skills Able to organise, prioritise, multi-task, work under pressure and meet deadlines Responsible and professional with passion for creativity Able to work independently and a strong team player Willing and able to travel occasionally within short notice "
2584,Company Undisclosed,Senior RA / QA Manager,0,"Permanent, Full Time","Senior Management, Middle Management","Environment / Health  , Healthcare / Pharmaceutical, General Management","$11,000to$15,000",Monthly,"RequirementsEducation and Experience:  Bachelor’s Degree required, preferably in a Science or Engineering discipline.  Minimum of 10 years’ experience in the position of regulatory affairs and quality domain, and 5 years’ experience in the RA/QA management role Strong interpersonal and influencing skills as well as analytical/Statistical skills Experience with working with cross-functional teams  Knowledge and Skill Requirements/Specialized Courses and/or Training: Hign degree of understanding of regulatory requirements, scientific methods, and engineering fundamentals. Ability to work in fast paced environment and handle multiple tasks and requests. Has gained comprehension of Orthopedic technical/engineering/medical terminology, or can reference literature for understanding. Machine, Tools, and/or Equipment Skills: PC, database, research tools, internet research tools. MS Office skills. Reasoning Ability: Ability to define problems, collect data, establish facts, and draw valid conclusions.  Ability to interpret an extensive variety of technical instructions in mathematical or diagram form and deal with several abstract and concrete variables. Mathematical Skills Ability to comprehend and apply mathematical principles to the degree required to perform the job based upon job requirements.  Language and Communication Skills: Ability to comprehend and apply language skills to the degree required to perform the job based upon the job requirements listed above.  Ability to verbally communicate ideas and issues effectively to other team members and management.  Ability to write and record data and information as required by procedures."
2585,Company Undisclosed,Fleet Superintendent,"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315",Permanent,Professional,Others,"$9,000to$14,000",Monthly,"RequirementsESSENTIAL:  Graduate Marine Engineer with competency and experience at sea in the position of Chief Engineer. Good communication (oral and written) and English language skills. Good interpersonal skills with the ability to engage and interact with people at all levels. Good planning and organizational skills, An ability to develop creative and effective solutions to problems.  DESIRABLE:  Previous experience as a Fleet Superintendent in a Technical Department. Member of IMarEST and Engineering Council registration or other equivalent recognized professional registration Basic financial understanding and experience in administering budgets. "
2586,Company Undisclosed,HSEQ Superintendent,"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315",Permanent,Professional,"Logistics / Supply Chain, Others","$8,000to$13,000",Monthly,"RequirementsESSENTIAL: Minimum qualification of Class 2 (1st Mate) certificate of competency and seagoing experience  as  a  Chief  Officer pursuant to the International Convention on Standards of  Training,  Certification  and  Watch- keeping for Seafarers (STCW), 1978, as amended, with less than three years’ experience as a senior shipboard officer and five years of relevant ship type experience, or Other formal education combined with not less than three years practical senior level experience in ship management operations in a shipping company with relevant ship type experience, or Qualifications from a tertiary institution recognized by the Administration or by the recognised organisation, within a relevant field of management, engineering or physical science with not less than three years practical senior level experience in ship management operations in a shipping company with relevant ship type experience handling chemical tanker vessels. DESIRABLE: Master’s Certificate of Competency (Class 1) with command experience. Good communication (oral and written) skills, Good organisational and planning skills, Good analytical and problem solving skills, Good interpersonal skills with the ability to engage and interact with people at all levels.  "
2587,Company Undisclosed,Administrative Assistant,0,Full Time,"Fresh/entry level, Non-executive, Junior Executive",Admin / Secretarial,"$1,800to$2,800",Monthly,Requirements Common sense and street smarts are a must! Good listener and observer towards everything and that’s happening around the office Organizational and excellent time management skills so as to organize and prioritize urgent assignments. It is a very fast-paced environment so pro-active doers are ideal Must be able to work well under pressure and very tight deadlines Ensuring a high quality of work is IMPORTANT – applicants have to be responsible and have pride in their work Paper qualifications not necessary Fast learners are a plus 
2588,Company Undisclosed,Autocad Operator,0,Full Time,Non-executive,Building and Construction,"$2,600to$3,300",Monthly,"Requirements Candidate must possess at least Diploma in Civil Engineering Proficient in AutoCAD, RevIT Preferably 2 Year(s) of working experience in (LTA/ PUB) tunnelling or DSM diaphragm wall projects "
2589,Company Undisclosed,Mantas Developer (Ref 22822),0,"Permanent, Contract, Full Time","Manager, Professional, Senior Executive",Information Technology,"$5,000to$10,000",Monthly,"RequirementsRequirements : - Have working experience in Mantas AML models. - Very proficient in Java (Java application platform – JAP), Database (Oracle or Sybase or SQL Server), Middleware messaging (JMS or MQ Series) - Unix scripting / storage and log file management in the development and enhancement project is a must - Application server (WebLogic is preferred else WebSphere or JBOSS also fine) experience is a must including batch job scheduling and management using Ctrl-M or Autosys - Should have experience building detailed design documents for new development & enhancements projects in AML for regulatory requirements. - Have knowledge in AML around Equities, OTC assets, fixed income, Wealth Management products, Private Banking, etc. - Experience working with various AML Mantas models for the above mentioned instruments. - Should have strong SQL / PLSQL & Data modeling and Data profiling experience.   License No.: 12C6060"
2590,Company Undisclosed,Consumer Networks - Associate Director / Director (Ref 22819),0,"Permanent, Contract, Full Time","Senior Management, Middle Management, Manager, Professional",Information Technology,"$6,000to$12,000",Monthly,"RequirementsRequirements: - Degree in Engineering - Above 10 years of working experience and leading a team size above 50 - Knowledge of GPON and Fixed Access - Understand common Transport & IP networks architecture today and how it can evolve in the future - PMP certification from the Project Management Institute (PMI) - Exceptional collaboration, negotiation, influential leadership, and relationship-building skills with internal stakeholders, customers, and suppliers in a highly matrixed environment   License No.: 12C6060"
2591,Company Undisclosed,"Vice President, Regional Customer Experience – Onboarding Process Design (Front",0,Permanent,Senior Management,Banking and Finance,"$7,500to$11,250",Monthly,"Requirements General degree Design thinking and human-centered methodologies Strong project management skills Experience in change management/process transformation projects preferred Experience in AGILE project implementation preferred Minimum 8-12 years of related experience in change management/ process transformation projects, with working knowledge in branch/channel operations or efficiency teams. Good understanding of banking processes, banking regulations, digital and mobile banking system functionalities. Possesses strong process mapping/re-engineering skills. Good understanding of L1, L2 and L3 process mapping. Proficient in AGILE project management methodology and user story crafting through PM platforms (e.g. JIRA). Worked with front, mid & back office on capacity and exception handling. Experienced in design and delivery of digital solutions to end consumers. Must demonstrate strong analytical, problem solving, communication and creative skills. Experienced in designing Customer Experience journeys with an appreciation for customer pain points and solutions will be an advantage.   "
2592,Company Undisclosed,Receptionist (Admin),0,"Permanent, Contract, Full Time","Senior Management, Middle Management, Fresh/entry level, Executive, Non-executive",Admin / Secretarial,"$2,000to$3,000",Monthly,"Requirements1. Min. 1 year relevant experience and contract. 2. Min. 'O' level, bilingual in English and Chinese(The staff must be able to introduce school Chinese course). 3. Proficient in Microsofe Office. 4. Must be able to work on weekend from 9am to 6pm. 5. Must be able to work on weekday from 12pm to 9pm."
2593,Company Undisclosed,Admin Assistant,0,Permanent,Non-executive,Admin / Secretarial,"$1,800to$2,000",Monthly,"Requirements1.) Min.  'O' levels or equivalent, Singaporean and PR only 2.) Pleasant personality, good interpersonal and communication skills 3.) Fluent in English (written/oral) and Mandarin (oral) 4.) Proficient in MS Office."
2594,NTT DATA SINGAPORE PTE. LTD.,Finance Data Analyst,"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315",Contract,"Professional, Executive, Senior Executive","Banking and Finance, Information Technology","$3,300to$5,940",Monthly,"Requirements Degree in Banking, Computer Science or Engineering-related field with relevant experience in Finance and MIS reporting and data analysis in financial services industry Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy In-depth knowledge of banking products, general ledger, finance processes Strong presentation, analytical and problem solving skills Excellent written and communication skills Delivery focused and results oriented Attention to details and highly organized and able to work under pressure in a time-critical environment Ability to work with complexity and ambiguity and use it to their advantage "
